HourOfYear,PerformanceScore_MISO,MileageRatio_MISO
1,1.0499604966403355,0.9050670704246209
2,0.9749727266371013,0.9910531134700773
3,1.0192117888337535,1.0570781910392832
4,0.9584106458170304,1.016597573289622
5,1.0219558910776032,1.077467914456377
6,0.9571985019111634,0.9162154828436505
7,1.0027030280495977,0.9596051982975468
8,1.0008349792265914,0.9724538268292682
9,1.0182751908494354,1.0073629461306048
10,1.021476987859947,1.046495350509769
11,0.9942516580881832,0.9730634161769774
12,0.987169957258434,0.9431916972538975
13,0.9893121781338419,0.9620054517654609
14,0.9941320092322177,1.006984963591121
15,1.0043134928344475,0.9680021366852058
16,1.0051205043706923,0.9918131750043058
17,0.9888488897037585,0.936642745987178
18,1.0100061580001178,1.0641286030126613
19,1.0132875276638502,1.0218512700604834
20,1.0484267975643067,1.007558237542328
21,1.0258784986664036,0.9357641765052651
22,1.0101383377149868,1.0477382473180594
23,0.9951790218974373,0.9822160720390295
24,0.9641500888781407,1.085165566275629
25,0.96616437110237,0.9867761169335696
26,1.0148893417419462,1.0032885026994853
27,1.0003710041389666,0.9514903310220276
28,0.9800997958944707,0.9461950125519851
29,0.9966366503349465,1.0508452839146725
30,0.9891333722959618,0.9930044570874206
31,0.9973317559059937,1.071664352864306
32,0.9806087605571918,0.953954921330444
33,1.0125469475202107,0.9421905306037286
34,0.9935503476706526,0.9723115955120759
35,1.0187685531530797,0.9197333002333484
36,0.9946293780435254,0.9883793941795843
37,1.0023793059188713,1.0440328663114178
38,0.997236427284247,1.0538437122774929
39,0.9878272145565136,0.915255842560171
40,0.9603983873499325,0.907719938103311
41,1.0243942182809886,0.9677542224984222
42,1.0147308374323762,0.9161520712710918
43,0.9851014877375616,1.0501894870683401
44,1.0154849486779032,0.9923777640660643
45,0.9567210797742801,0.9754373326343309
46,1.0023570397627963,1.0477519261645203
47,0.999710784099087,1.0051502711346665
48,1.0224265037614058,0.9615969435316236
49,1.0118231645684357,0.9531872756202946
50,0.9758303673841247,0.9447168958119735
51,1.012064818737568,1.0171309682673704
52,1.0150123160876456,1.0277216290365074
53,1.0176388652807578,1.0800643392779496
54,0.9914431117082326,0.9400854582419846
55,1.0450940957504762,1.0283637260678515
56,0.9987705797893942,0.9477366564279224
57,1.0032534551788057,1.0091399386865514
58,0.9828101437993556,0.9744768813401994
59,1.0441120278434488,1.0098984794598251
60,0.974900065139526,1.0475430040522509
61,0.9866376846391259,1.03567329535926
62,1.0303967330665236,0.9024311094166477
63,0.9897629032363254,0.9386671145014289
64,0.9948243478848521,0.9503349377089662
65,0.9928441485200936,1.0664310327568822
66,1.0172952572694791,1.0779412706884288
67,1.0102095077535815,1.0357810905929021
68,1.0127346311833525,0.9638793751211852
69,1.0341228252512953,1.0692616796841274
70,1.0134269602117072,0.9858526564098441
71,1.0090263190468152,0.976959666243764
72,1.009823935032607,0.8851995040170166
73,1.0191199505286168,1.072314464795831
74,0.9790213956706483,1.0116048570196716
75,1.0014163672420462,0.9855661459838936
76,1.0276103270720258,1.0318278719925886
77,0.9414962499929076,0.9835769045556371
78,1.0010362919368838,1.027195085988791
79,1.0104288454227595,1.0067915514770556
80,0.9908624862192145,0.9635595470451904
81,0.9775956547189726,0.9378792623525478
82,1.0001380271268627,1.0504396763762716
83,1.0282769126958906,0.8963077928813641
84,0.9922525899902876,0.9327470937277742
85,0.9832937815157532,0.9531258637769893
86,1.0050723498144232,0.9638930084676209
87,0.9527572539083538,1.002287050757545
88,0.9862402713622869,0.9944218017647595
89,0.9827953150579216,0.9342430982010909
90,1.021380777659719,0.9747176830576258
91,1.008744446035003,1.0520701564321442
92,1.0098959752799754,1.0021865284754872
93,0.9905984024121796,1.0287283030975396
94,1.0024968929006657,0.932151405699052
95,1.0188710475542044,0.9897384689443502
96,1.0156908720606375,1.0360410135319145
97,0.9813890931145605,1.0044650110333009
98,0.9846410159249477,0.9484712477232158
99,1.0134547521621193,1.0188694026338632
100,0.9972495402580215,0.9999460732881004
101,1.0089000824514978,0.9795015169281289
102,1.0048387170492705,1.0260243780724996
103,0.996597413270876,0.9560645445205215
104,1.0155162890828615,0.9846929642415447
105,0.9726373456836197,0.9890928179795077
106,0.9969858133893611,1.0389775920364164
107,0.9763334677793988,1.0042832375169488
108,0.9959464330876339,0.9745156366248912
109,0.9974778342102008,0.9660068515890857
110,1.0006141516838825,0.9288151976805026
111,1.005620735859423,0.9597590529882399
112,0.9991684951660609,0.9971052645550821
113,0.9811099623995686,0.907414530319603
114,0.9873857103450339,0.9952827753477621
115,0.9982979171275717,0.9501926288463715
116,0.9903296230420846,1.0433103637330516
117,0.9835362095490231,0.988793826775661
118,0.9984553627541062,0.9966646783688208
119,1.0072534577500027,0.9469634552439222
