Timestamp,p_RegUp_PJM,loc_RegUp_PJM,p_RegDown_PJM,loc_RegDown_PJM,p_Syn_PJM,loc_Syn_PJM,p_Rse_PJM,loc_Rse_PJM,p_TMR_PJM,loc_TMR_PJM
2023-01-01 00:00:00,18.7898,0.0,18.9111,0.0,19.6965,0.0,18.9017,0.0,11.4452,0.0
2023-01-01 01:00:00,16.9149,0.0,22.2069,0.0,25.7284,0.0,5.502,0.0,23.6169,0.0
2023-01-01 02:00:00,17.4312,0.0,13.9375,0.0,15.9133,0.547,14.7054,0.0,5.3425,0.0
2023-01-01 03:00:00,22.0488,0.0,5.5732,0.0,35.8349,0.0,30.5591,0.0,25.8119,0.0
2023-01-01 04:00:00,23.357,0.0,10.2744,0.0,13.3369,0.0,26.6442,0.0,19.2416,0.0
2023-01-01 05:00:00,19.8731,0.0,36.9573,0.0,17.9128,0.0,27.9387,0.0,19.9383,0.0
2023-01-01 06:00:00,9.5326,0.0,39.8423,0.0,36.184,0.0,36.5958,0.0,6.1574,0.0
2023-01-01 07:00:00,30.2817,0.0,30.1993,0.0,12.8647,0.0,22.1734,0.0,8.7644,0.0
2023-01-01 08:00:00,15.4315,0.0,22.1995,0.0,11.0476,0.0,16.5854,0.0,22.5398,0.0
2023-01-01 09:00:00,15.5461,0.0,19.1792,0.0,20.6639,0.0,10.9421,0.0,21.141,0.0
2023-01-01 10:00:00,22.6297,0.0,26.5048,0.0,32.1216,0.0,22.5878,0.0,18.607,0.0
2023-01-01 11:00:00,11.974,0.0,1.5856,0.0,24.2809,0.0,18.8591,0.0,24.5405,0.0
2023-01-01 12:00:00,16.2157,0.0,11.7441,0.0,15.7907,1.8487,22.9931,0.0,8.8922,0.0
2023-01-01 13:00:00,10.2697,0.0,13.8198,0.0,22.5355,0.0,21.335,0.0,17.3364,0.0
2023-01-01 14:00:00,13.844,0.0,13.2896,0.0,16.8539,0.0,4.734,0.0,9.3992,0.0
2023-01-01 15:00:00,11.5012,0.0,17.4653,0.0,12.0847,0.0,13.1537,0.0,11.7466,0.0
2023-01-01 16:00:00,10.9932,0.0,9.5457,0.0,15.1789,0.0,14.0479,0.0,12.5513,0.0
2023-01-01 17:00:00,3.3668,0.0,18.9306,0.0,8.9252,0.0,19.6011,0.0,15.3416,0.0
2023-01-01 18:00:00,4.1302,0.0,13.4667,0.0,2.5182,0.0,8.5617,0.0,11.0834,0.0
2023-01-01 19:00:00,10.2221,0.0,11.8708,0.0,25.6576,0.0,0.0,0.0,10.8239,0.0
2023-01-01 20:00:00,16.997,0.0,20.2248,0.0,16.4482,0.0,21.5529,0.0,2.6659,0.0
2023-01-01 21:00:00,2.4179,0.0,14.9545,0.0,1.3546,0.0,2.1895,0.0,6.4801,0.0
2023-01-01 22:00:00,28.9174,0.0,11.8313,0.0,51.4951,0.0,14.9648,0.0,9.6439,0.0
2023-01-01 23:00:00,15.473,0.0,10.781,0.0,5.2489,0.0,8.3659,0.0,20.2759,0.0
2023-01-02 00:00:00,3.8743,0.0,12.3954,0.0,20.8203,0.0,24.146,0.0,7.6195,0.0
2023-01-02 01:00:00,22.8937,0.0,22.1578,1.9624,47.8673,0.0,18.7603,0.0,30.5719,0.0
2023-01-02 02:00:00,12.9207,0.0,13.6614,0.0,20.4719,0.0,13.3159,0.0,22.3672,0.0
2023-01-02 03:00:00,26.681,0.0,21.4463,0.0,15.3274,0.3673,21.5511,0.0,24.7396,0.0
2023-01-02 04:00:00,13.0803,0.4707,9.8594,0.0,32.7433,0.0,48.2845,0.0,23.442,0.0
2023-01-02 05:00:00,19.7477,0.0,23.1691,0.0,39.0942,0.0,27.4921,0.0,17.8184,0.0
2023-01-02 06:00:00,25.4081,0.0,9.5591,0.0,12.1934,0.0,15.8082,0.0,17.0228,0.0
2023-01-02 07:00:00,15.714,0.0,0.7574,0.0,26.0918,0.0,19.4791,0.0,21.2534,0.0
2023-01-02 08:00:00,20.8883,0.0,2.3329,0.0,19.599,0.0,13.8767,0.0,28.3892,0.0
2023-01-02 09:00:00,47.1441,0.0,11.3842,0.0,20.2747,0.0,17.0036,0.0,40.3033,0.0
2023-01-02 10:00:00,9.4816,0.0,10.8038,0.0,19.7788,0.0,33.862,0.0,17.7428,0.0
2023-01-02 11:00:00,3.5557,0.0,27.4391,0.8719,31.4769,0.0,13.5068,0.0,28.8918,0.0
2023-01-02 12:00:00,18.0784,0.0,29.4044,0.0,11.1632,0.0,17.3287,0.0,7.8252,0.0
2023-01-02 13:00:00,13.8189,0.0,11.4481,0.0,3.9644,0.0,2.7991,0.0,16.0287,0.0
2023-01-02 14:00:00,16.2968,0.0,16.0577,0.0,19.9648,0.0,1.8581,0.0,12.6997,0.0
2023-01-02 15:00:00,25.7601,0.0,9.6988,0.0,11.9455,0.0,28.5359,0.0,19.3144,0.0
2023-01-02 16:00:00,12.572,0.0,3.1283,0.0,22.8281,0.0,6.4285,0.0,10.7719,0.0
2023-01-02 17:00:00,1.1795,0.0,5.3299,0.0,6.6902,0.0,8.3857,0.0,4.7448,0.0
2023-01-02 18:00:00,11.768,0.0,10.0368,0.0,18.342,0.0,4.7617,0.0,7.1118,0.0
2023-01-02 19:00:00,15.4439,0.0,11.16,0.0,17.4192,0.0,0.0,0.0,2.1613,0.0
2023-01-02 20:00:00,12.5408,0.0,16.1478,0.2099,21.5508,0.0,22.6205,0.0,1.4828,0.0
2023-01-02 21:00:00,14.6455,0.1894,17.8601,0.0,21.9978,0.0,21.9675,0.0,23.613,0.0
2023-01-02 22:00:00,20.0858,0.0,8.1008,0.0,12.5643,0.0,11.7001,0.0,9.3895,0.0
2023-01-02 23:00:00,7.3283,0.0,17.0024,0.0,12.2506,0.0,7.6724,1.7511,12.3675,0.0
2023-01-03 00:00:00,22.1514,0.0,7.8716,0.0,13.4131,0.0,16.2364,0.0,13.1826,0.0
2023-01-03 01:00:00,33.9978,0.0,3.5059,0.0,19.5671,0.0,7.314,0.0,21.097,0.0
2023-01-03 02:00:00,24.3361,0.0,18.0485,0.0,14.7571,0.0,24.7244,0.0,13.5678,0.0
2023-01-03 03:00:00,15.6566,0.0,20.3023,0.0,11.2381,0.0,34.7736,0.0,28.6145,0.0
2023-01-03 04:00:00,15.3042,0.0,8.6485,0.0,6.7835,0.0,12.7223,0.0,5.4526,0.0
2023-01-03 05:00:00,37.3603,0.0,28.6105,0.0,2.1476,0.6159,9.1035,0.0,4.906,0.0
2023-01-03 06:00:00,21.8853,0.0,9.9689,0.0,32.5973,0.0,9.4835,0.0,33.1764,0.0
2023-01-03 07:00:00,11.0968,0.0,18.4525,0.905,22.1032,0.0,3.6656,0.0,26.887,0.0
2023-01-03 08:00:00,22.556,0.0,30.9448,0.0,35.5131,0.0,29.7854,0.0,29.2996,0.0
2023-01-03 09:00:00,7.4483,0.0,22.6759,0.0,27.5944,0.0,19.6715,0.0,16.6798,0.0
2023-01-03 10:00:00,14.7255,0.0,5.6084,0.0,23.1653,0.0,16.8919,0.0,20.5851,0.0
