HourOfYear,RegUp_MCP,RegDown_MCP,RRS_MCP,ECRS_MCP,NonSpin_MCP
1,8.677152621446073,9.286883285569331,36.94587397808077,13.597211457276847,7.357396480575997
2,10.457897015221539,10.122119046311793,11.8538661811278,2.2668128892820003,0.0
3,0.0,7.758474186338188,6.058662749948044,14.79157863518563,5.560498319835
4,10.352930642640459,1.2044630243021495,15.061899822438084,17.322743621012656,3.510476107285312
5,12.263407844986343,4.021833900404052,9.320324570282686,7.048928829773942,0.0
6,15.486577732706037,11.598681282287226,44.336965815552674,19.736798475449024,5.207471983814819
7,18.351447842082234,18.709345991919047,34.20234462183747,18.85386201549163,14.251506264567709
8,0.0,32.71226872594856,38.18580152914829,36.094656342203606,16.68431905428587
9,34.170404143229575,15.152948303316672,0.0,0.0,0.0
10,15.374644125434175,19.169450502191914,37.90174320612011,55.97006923518926,20.34192061486286
11,0.0,11.350597015929909,39.01225178527983,53.071962239029546,13.187708675516479
12,9.549801963496103,0.0,48.14406309217183,36.874797229005644,14.733807488126624
13,18.94277711681886,0.0,33.08864664517772,77.6516349242629,8.292051409660992
14,23.72248806663139,17.74593858430806,18.35672958848737,15.033344371756312,0.0
15,35.61331311642435,0.0,51.464064352133875,0.0,16.434951654998976
16,29.635796001342175,15.046032137393869,42.049210523213695,38.832178758180056,0.0
17,22.323648004927982,0.0,0.0,51.379952146152796,4.631901604468094
18,34.04075953536183,25.92535628740116,30.035170283245613,38.26118356689246,18.000649523501465
19,40.654153607295996,13.012026541796148,21.732738828174547,13.987846875940159,0.0
20,0.0,17.356988404159313,26.59466603508205,0.0,5.338681362387745
21,20.377726544647047,10.05295592860523,25.300082901858094,0.0,15.250708115808214
22,9.376686986343058,21.440201839727703,25.315113387946703,15.932330373628616,6.568031633945154
23,17.892175517552833,12.772354738712911,19.063476818792992,109.477752448016,0.0
24,49.38138954159752,13.885362659228706,89.16925096522573,0.0,0.0
25,14.833594984941717,10.82817973929183,17.292541312958615,6.791481462966302,0.0
26,13.679600158276124,7.881742299818798,0.0,13.19866462112041,3.8906884756315177
27,11.550558644106497,0.0,10.721273836124634,0.0,5.741814767059531
28,0.0,8.121735080199779,0.0,21.955349127252397,0.0
29,12.659477555465385,24.00027043405106,18.112595727825532,19.35587177080266,1.408569140028008
30,15.604125697559098,12.158482927294939,0.0,13.586474617652577,7.85447340227386
31,0.0,11.666381825874584,35.759998031645374,37.16738397390465,8.98826206834605
32,12.716646287595657,14.894645372674033,50.285694490833095,31.638228348475447,15.665916542744023
33,0.0,32.04202667505204,35.20934017102198,25.763474264621873,0.0
34,19.97887511027745,16.01829383647171,0.0,9.73925383890904,21.10926899273609
35,16.11580831946319,21.1485833739269,20.7019565032524,10.814012752694886,0.0
36,17.577216449525302,21.994743604425555,18.503919841534458,31.14101358751104,5.274478299814021
37,24.709754719911096,24.959943805565764,33.17976270537336,21.651253627758265,0.0
