Timestamp,deploy_factor_RegUp_MISO,deploy_factor_RegDown_MISO,deploy_factor_Spin_MISO,deploy_factor_Sup_MISO,deploy_factor_STR_MISO,deploy_factor_RamU_MISO,deploy_factor_RamD_MISO
2024-01-01 00:00:00,0.5215,0.0796,0.0,0.0,0.0,0.0,0.0
2024-01-01 01:00:00,0.548,0.1065,0.0,0.0,0.0,0.0,0.0
2024-01-01 02:00:00,0.5655,0.1239,0.0,0.0,0.3089,0.0,0.0
2024-01-01 03:00:00,0.5818,0.1399,0.0,0.0,0.0,0.0,0.0
2024-01-01 04:00:00,0.6011,0.1591,0.0,0.0,0.0,0.0,0.0
2024-01-01 05:00:00,0.6129,0.1713,0.0,0.0,0.0,0.0,0.0
2024-01-01 06:00:00,0.6297,0.1881,0.0,0.0,0.0,0.0,0.0
2024-01-01 07:00:00,0.622,0.1807,0.0,0.0,0.0,0.0,0.0
2024-01-01 08:00:00,0.6289,0.1877,0.0,0.0,0.2666,0.0,0.0
2024-01-01 09:00:00,0.634,0.193,0.0,0.0,0.0,0.0,0.0
2024-01-01 10:00:00,0.6396,0.1991,0.0,0.0,0.3441,0.0,0.0
2024-01-01 11:00:00,0.6427,0.2019,0.0,0.0,0.0,0.0,0.0
2024-01-01 12:00:00,0.6425,0.2022,0.0,0.0,0.0,0.0,0.0
2024-01-01 13:00:00,0.6265,0.1866,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:00:00,0.6174,0.1773,0.0,0.0,0.0,0.0,0.0
2024-01-01 15:00:00,0.6093,0.1691,0.0,0.0,0.0,0.0,0.0
2024-01-01 16:00:00,0.5997,0.1594,0.0,0.0,0.461,0.0,0.0
2024-01-01 17:00:00,0.6012,0.1609,0.0,0.0,0.4259,0.0,0.0
2024-01-01 18:00:00,0.6026,0.1624,0.0,0.0,0.2182,0.0,0.0
2024-01-01 19:00:00,0.6117,0.1714,0.0,0.0,0.0,0.0,0.0
2024-01-01 20:00:00,0.6042,0.1639,0.0,0.0,0.0,0.0,0.0
2024-01-01 21:00:00,0.6073,0.167,0.0,0.0,0.0,0.0,0.0
2024-01-01 22:00:00,0.6164,0.1764,0.0,0.0,0.0,0.0,0.0
2024-01-01 23:00:00,0.6153,0.1749,0.0,0.0,0.0,0.0,0.0
2024-01-02 00:00:00,0.6206,0.1799,0.0,0.0,0.0,0.0,0.0
2024-01-02 01:00:00,0.6309,0.1901,0.0,0.0,0.0,0.0,0.0
2024-01-02 02:00:00,0.6432,0.2023,0.0,0.0,0.0,0.0,0.0
