Timestamp,p_RegUp_NYISO,loc_RegUp_NYISO,p_RegDown_NYISO,loc_RegDown_NYISO,p_Spin10_NYISO,loc_Spin10_NYISO,p_NSpin10_NYISO,loc_NSpin10_NYISO,p_Res30_NYISO,loc_Res30_NYISO
2023-01-01 00:00:00,21.0218,0.0,20.7047,0.0,7.8506,0.0,8.4395,0.0,11.0672,0.0
2023-01-01 01:00:00,11.3612,0.0,8.2773,0.0,0.0,0.0,28.0277,0.0,29.3468,0.0
2023-01-01 02:00:00,21.3449,0.0,38.7697,0.0,12.8062,0.0,32.2749,0.0,31.1983,0.0
2023-01-01 03:00:00,27.8421,0.0,4.7847,0.0,15.4334,0.0,9.6693,0.0,12.6931,0.0
2023-01-01 04:00:00,35.3287,0.0,25.0841,0.0,26.1473,0.0,28.2771,0.0,13.5275,0.0
2023-01-01 05:00:00,11.0734,0.4414,8.2577,0.0,29.7522,0.0,29.7326,0.0,21.8748,0.0
2023-01-01 06:00:00,2.6622,0.0,10.6374,0.0,25.9586,0.0,23.0479,0.0,31.3272,0.0
2023-01-01 07:00:00,15.8962,0.0,15.8473,0.0,24.2335,0.0,9.3945,0.0,36.5711,0.0
2023-01-01 08:00:00,29.2839,0.0,21.9383,0.0,24.6021,0.0,36.7271,0.0,15.097,0.0
2023-01-01 09:00:00,3.2982,0.0,28.5257,0.0,27.3371,0.0,29.7965,0.0,16.5072,0.0
2023-01-01 10:00:00,29.7704,0.0,13.2266,0.0,27.052,0.0,13.2464,0.0,18.9808,0.0
2023-01-01 11:00:00,23.6817,0.0,19.0117,0.0,9.1291,0.0,21.727,0.0,7.0673,0.0
2023-01-01 12:00:00,8.7799,0.0,12.1029,0.5218,68.0886,0.0,19.6119,0.0,10.4389,0.0
2023-01-01 13:00:00,27.8567,0.0,19.7446,0.0,19.8239,0.0,27.0233,0.0,14.7752,0.0
2023-01-01 14:00:00,14.7082,0.0,3.5396,0.0,17.0654,0.0,19.0665,0.0,8.77,0.0
2023-01-01 15:00:00,10.3953,0.0,22.3357,0.0,8.8096,0.0,12.3431,0.0,12.0575,0.0
2023-01-01 16:00:00,16.067,1.1488,23.1475,0.0,18.4207,0.0,4.593,0.0,6.0284,0.0
2023-01-01 17:00:00,11.6162,0.5598,14.2396,0.0,16.3874,0.0,19.9054,0.0,14.6246,0.0
2023-01-01 18:00:00,22.1407,0.0,26.4801,0.0,15.8262,0.0,19.3249,0.0,12.8983,0.0
2023-01-01 19:00:00,0.0,0.0,6.907,0.0,4.5715,1.806,2.6068,0.0,7.5261,0.0
2023-01-01 20:00:00,6.5885,0.0,4.539,0.0,14.521,0.8634,12.3764,0.0,13.4274,0.0
2023-01-01 21:00:00,16.1444,0.0,14.9918,0.0,22.1088,0.0,15.1788,1.4874,23.7966,0.0
2023-01-01 22:00:00,2.8556,0.0,8.8584,0.0,11.8847,0.0,4.862,0.0,17.9627,0.0
2023-01-01 23:00:00,16.8372,0.0,9.7441,0.0,15.8096,0.0,9.9451,0.0,1.874,0.0
2023-01-02 00:00:00,28.2349,0.0,19.0068,0.0,17.5922,0.0,7.1631,0.0,9.1553,1.0814
2023-01-02 01:00:00,17.0028,0.0,8.1635,0.0,4.311,0.0,20.2376,0.0,14.3236,0.0
2023-01-02 02:00:00,18.3543,0.0,5.6111,1.3813,19.4565,0.0,29.6997,0.0,18.5176,0.0
2023-01-02 03:00:00,15.6404,0.0,18.0721,0.0,25.5657,0.0,16.5423,0.0,35.2263,0.4948
2023-01-02 04:00:00,30.9387,0.0,35.5813,0.0,8.7491,0.0,11.5831,0.0,21.4745,0.0
2023-01-02 05:00:00,4.708,0.0,31.9606,0.0,2.204,0.0,23.9694,0.0,23.397,0.0
2023-01-02 06:00:00,22.3703,0.0,14.4173,0.0,13.9737,0.0,35.9569,0.0,35.6324,0.0
2023-01-02 07:00:00,24.1742,0.0,29.9001,0.0,33.3236,0.0,25.0557,0.0,16.2726,1.4832
2023-01-02 08:00:00,10.7901,0.0,29.7308,0.0,37.0433,0.0,28.7304,0.0,12.0924,0.0
