HourOfYear,Reg_MCP,Reg_LOC_Adder,Spin_MCP,Spin_LOC_Adder,10MinNonSync_MCP,10MinNonSync_LOC_Adder,30Min_MCP,30Min_LOC_Adder
1,11.610931632358126,0.5253640394947837,13.3218293098953,2.209235389882961,10.169812001875183,0.4325674331028824,0.0,1.4799078632354072
2,6.009867115741245,0.6736542608105329,9.987524497502173,2.5209273080908945,0.0,0.5913465116710959,2.531486924315683,0.5285027581967675
3,13.485824581735232,1.414181564265876,15.071587529097913,0.0,3.116939698092751,0.0,0.778545444790462,0.0
4,10.169428584745296,0.5540799309977744,11.026996796525355,1.3184831995643436,4.007181078911266,0.3790743922508074,3.9489982203399534,0.4696716522800468
5,5.603968180041986,0.0,14.759823724816298,1.356617004760823,0.0,0.0,0.0,0.0
6,0.0,1.7400612518239114,20.049946071029886,0.0,10.534284005845223,0.7609951877799057,0.0,1.2449073210078132
7,13.374625667509054,1.4102140185658603,20.380980107462566,4.568677498716537,10.506350809394805,2.51307054415961,2.9890465047333614,1.446755821459538
8,5.595182387106692,2.8699625180871484,18.81624494750392,0.0,14.168490479753412,1.1510279325163433,0.0,1.7896082306678418
9,21.204908487617306,1.4305015789903543,0.0,1.248337366458368,19.660807226246586,2.8940464280218197,0.0,2.160123501029802
10,12.254959270315439,4.13897643418965,35.78210335160091,2.842343970149677,11.141128293474875,2.115742911534064,9.644278167988686,0.0
11,24.917031858537698,2.3105863312692443,22.38111176567315,2.205095295821881,9.553557337399509,2.017660875092753,12.551801303931125,0.0
12,6.0935508485412875,2.0539003859584777,18.799205057206123,3.3655765783625173,0.0,2.1812453437399557,11.152697330325728,0.0
13,0.0,3.6219872554177983,30.96293802097415,3.1541622749234874,89.17456798961635,0.8896550045892142,0.0,0.0
14,12.966415009738254,5.720507146519287,22.67857918357883,2.78943855335028,16.912984544154895,1.1855051405583767,5.26949723666918,0.9329732213560584
15,22.59224005183016,3.435672597077924,19.232568448767793,4.863107090835299,10.081444116292197,2.176264958370785,13.815208825884007,0.9456447656289731
16,29.815060967429343,4.693239954255403,17.2966784144132,1.0073864438192854,17.622628658352173,1.7089247032994213,0.0,2.0840703309336956
17,12.171368969285288,4.390357202755018,16.104109707287755,5.655932782285803,18.253545835356316,3.355256644856578,0.0,0.0
18,19.992913132963015,4.014853856946108,40.73008474952278,2.970333231981515,14.670199351822633,2.8724294414619984,0.0,2.3902206526007213
19,21.665658777702518,5.273734759630818,166.13918334173326,4.436913611265586,15.014047745750535,2.5066740185813403,0.0,1.5795493979243442
20,11.799345680197218,2.517783560126763,32.68645612576965,3.254574948808961,0.0,3.212877181520656,12.915109438717963,0.0
21,17.967701157386266,3.0358918320404222,26.73688196670805,2.892608959714903,4.2748307648217425,1.455239059080153,5.721084466401432,2.967382682069507
22,15.67694258611967,2.450418023138151,15.701661348204501,0.45344269826461736,8.017460934500548,0.0,6.8268382910232255,0.8960691531202462
23,14.580694644423223,2.7708940816691063,0.0,2.517627880159522,7.0466546275284685,0.7013778343838584,6.800905718589925,0.7894464788033164
24,0.0,2.5957560126686183,13.510186076315133,0.8477299362857046,0.1742349180585263,1.314811158674762,6.7028641105601965,1.341551530041641
25,14.766587576121623,0.0,9.507872273338895,0.0,7.580734258069045,0.7889343960542888,4.775950374643086,0.0
26,15.504035370223644,0.0,7.738349949855117,1.8724301513467352,7.968945092726361,0.5682649471320301,0.0,0.0
27,12.772003386975713,1.4125574471960556,13.20061054936742,1.3733356128313101,4.8704299531879345,0.44992980927400045,0.0,0.8680178800512656
28,7.1202657583586335,1.308870876499346,12.875607614888573,1.627391739558041,5.690612318664156,0.7662844018883799,4.876556711783023,0.5549696722667037
