HourOfYear,RegUp_MCP,RegDown_MCP,Spin_MCP,Supp_MCP
1,10.901903765771529,7.676875691312033,11.26491416162061,6.7376788405042065
2,4.913526212807467,7.520541976902364,10.453648013285122,0.0
3,6.275557193404882,6.693901108206863,11.764235882889885,0.0
4,5.658951715534201,7.916579193289187,5.065906157979838,5.042398288142765
5,6.53388866869649,7.550583399979348,0.0,0.0
6,16.496166903511597,4.320887755956136,18.265188586661466,10.310719494914972
7,10.147296869996037,24.31033051193903,13.88153688390788,7.220968583317597
8,21.577412593828555,18.218910945549847,24.89487039601535,7.618344367358575
9,19.2811238462451,10.041169946907006,13.952371895378372,0.0
10,24.53418016034958,12.857932153701784,39.35677218036582,9.627380729927392
11,16.451492537335902,17.043002368366686,36.26598204340539,5.200684196848287
12,20.681546152844202,0.0,26.531588889739155,11.069021041993867
13,9.447678483499372,9.585279263747728,7.781195634294942,10.630825441084509
14,17.58124219469618,8.102206194517242,20.062888341583808,13.614659468695946
15,17.00808593636073,21.282517295020146,32.21906375298698,0.0
16,22.86183905693043,7.019797771232638,0.0,0.0
17,34.301587934138446,18.922431535078825,11.58106080981609,0.0
18,18.12499311964983,25.466200461932974,27.340644330638483,10.534067101430905
19,5.392855411879913,17.861351121046468,39.886788529401585,0.0
20,28.702455410676837,18.489808515487244,111.68236608644222,0.0
21,7.401190242998784,19.391540309361666,0.0,0.0
22,8.175691872596662,12.169040298376103,22.951062443105265,0.0
23,8.734735289931368,8.742045751554707,7.230481301129299,0.0
24,5.26247202560266,13.251316216332308,16.204425818363813,0.0
25,8.29950186763548,6.493481791212825,3.917752904978601,5.509651602623663
26,5.351708665884367,2.770122815600726,12.48764540932386,0.0
27,6.251181830761706,7.516991918047585,6.196383601520451,6.869658901614416
28,0.0,3.6594902791155213,3.920875930926234,2.7692115817214344
29,10.255402573518161,6.048681179069245,5.881997003387978,2.664468587740579
30,11.33825674516684,10.214762194487431,14.925287384888849,10.687636367080245
31,14.223501733405238,9.416217318883042,0.0,9.436700391120853
32,23.012647527765253,11.574971032066825,18.827816428827237,0.0
33,0.0,17.820324201140437,19.733219429354104,8.040921700180219
34,30.773192018254967,16.56049952494053,11.956366849679002,41.32269682056929
35,12.071041813781585,12.891549874712359,18.436963775291787,0.0
36,22.082225157771294,16.510984862887305,7.666503056578105,9.160794565926771
37,6.07363508280978,7.888335518005392,18.334442251329154,0.0
38,0.0,9.353049771034998,21.894812737074968,15.183253239192402
39,4.540521415024507,0.0,25.319390711934364,10.871525665685938
40,26.277233029826483,12.99299097821435,15.432823368652503,2.180942060117898
41,39.43166872656258,10.834998069231357,19.418541043291867,10.31155457047517
42,9.403187956335174,21.968105404836084,52.048413099571505,13.108581483896165
43,24.271365703140567,0.0,32.88318095022483,11.781245241586866
44,29.96928664568208,21.09415307796729,109.05234422529905,11.309415471924012
45,5.250006589356534,11.791433319604813,7.927915050405577,12.174462175737126
