Timestamp,deploy_factor_Spin_SPP,deploy_factor_Sup_SPP,deploy_factor_RamU_SPP,deploy_factor_RamD_SPP,deploy_factor_UncU_SPP
2024-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-01 01:00:00,0.0,0.0,0.0,0.0,0.5652
2024-01-01 02:00:00,0.0,0.0,0.5302,0.0,0.0
2024-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-01 05:00:00,0.0,0.0,0.0,0.0,0.6334
2024-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-01 07:00:00,0.0,0.0,0.4532,0.0,0.0
2024-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-01 12:00:00,0.0,0.0,0.7097,0.0,0.0
2024-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-01 19:00:00,0.0,0.0,0.0,0.339,0.0
2024-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-02 03:00:00,0.0,0.0,0.0,0.0,0.4304
2024-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-02 05:00:00,0.0,0.0,0.0,0.1577,0.0
2024-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-02 07:00:00,0.0,0.0,0.0,0.2709,0.0
2024-01-02 08:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-02 09:00:00,0.0,0.0,0.2238,0.0,0.0
2024-01-02 10:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-02 12:00:00,0.0,0.0,0.138,0.0,0.0
2024-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-02 15:00:00,0.0,0.0,0.0,0.7683,0.0
2024-01-02 16:00:00,0.0,0.0,0.1084,0.0,0.0
2024-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-02 18:00:00,0.0,0.0,0.0,0.6952,0.0
2024-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-02 20:00:00,0.0,0.0,0.0,0.0,0.462
2024-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-03 02:00:00,0.0,0.0,0.3334,0.0,0.0
2024-01-03 03:00:00,0.0,0.0,0.0,0.0,0.5949
2024-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-03 07:00:00,0.0,0.0,0.0,0.53,0.0
2024-01-03 08:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-03 09:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-03 10:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-03 11:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-03 12:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-03 13:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-03 14:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-03 15:00:00,0.0,0.0,0.0,0.1994,0.0
2024-01-03 16:00:00,0.0,0.0,0.0,0.112,0.0
2024-01-03 17:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-03 18:00:00,0.0,0.0,0.0,0.7719,0.0
2024-01-03 19:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-03 23:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-04 00:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-04 01:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-04 02:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-04 03:00:00,0.0,0.0,0.1897,0.0,0.0
2024-01-04 04:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-04 05:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-04 06:00:00,0.0,0.0,0.0,0.6184,0.0
2024-01-04 07:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-04 08:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-04 09:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-04 10:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-04 11:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-04 12:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-04 13:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-04 14:00:00,0.0,0.0,0.2351,0.0,0.0
2024-01-04 15:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-04 16:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-04 17:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-04 18:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-04 19:00:00,0.0,0.0,0.6907,0.0,0.7067
2024-01-04 20:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-04 21:00:00,0.0,0.0,0.2671,0.0,0.0
2024-01-04 22:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-04 23:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-05 00:00:00,0.0,0.0,0.0,0.3067,0.0
2024-01-05 01:00:00,0.0,0.0,0.6589,0.0,0.0
2024-01-05 02:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-05 03:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-05 04:00:00,0.0,0.0,0.0,0.473,0.0
2024-01-05 05:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-05 06:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-05 07:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-05 08:00:00,0.0,0.0,0.2937,0.0,0.0
2024-01-05 09:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-05 10:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-05 11:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-05 12:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-05 13:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-05 14:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-05 15:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-05 16:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-05 17:00:00,0.0,0.0,0.0,0.0,0.365
2024-01-05 18:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-05 19:00:00,0.0,0.0,0.0,0.3421,0.0
2024-01-05 20:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-05 21:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-05 22:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-05 23:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-06 00:00:00,0.0,0.0,0.0,0.0,0.2947
2024-01-06 01:00:00,0.0,0.0,0.5796,0.0,0.0
2024-01-06 02:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-06 03:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-06 04:00:00,0.0,0.0,0.0,0.7868,0.0
2024-01-06 05:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-06 06:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-06 07:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-06 08:00:00,0.0,0.0,0.0,0.5458,0.0
2024-01-06 09:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-06 10:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-06 11:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-06 12:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-06 13:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-06 14:00:00,0.0,0.0,0.0,0.0,0.1612
2024-01-06 15:00:00,0.0,0.0,0.0,0.0,0.0
