HourOfYear,Regulation Capacity Up ($/MWh),Regulation Up Mileage ($/MWh),Reg_LOC_Adder,Synchronized Reserve ($/MWh),SR_LOC_Adder,Primary Reserve ($/MWh),NSR_LOC_Adder,Thirty Minutes Reserve ($/MWh),SecR_LOC_Adder
1,7.35771356565737,5.814529011054484,0.7261740201289593,18.877092300721348,0.809741190138075,7.414493284129821,0.9140038665891675,0.0,0.9808935127167787
2,6.696006572457026,2.7823455821721526,0.3479673338738574,16.010964303137175,0.8617488437538802,10.052424257258899,0.5759412218304367,6.645258840269439,0.726722205078116
3,5.01787851505314,0.0,0.7260573876382908,17.41978576379744,0.950816113678401,1.8567225679536394,0.8692148516100913,4.973963716156579,0.3491328887866578
4,3.7483788817040393,4.209825288091655,0.9075930609429057,4.346550882065008,0.4207090249003181,6.981643510084214,0.8944285498344606,3.1415883309398698,0.8234086465925688
5,1.7328411725126633,5.394185595662915,0.1179295378917028,22.00838588707368,0.47544088407927293,0.0,3.2000317206486213,5.253555585048062,0.0
6,19.63202095600491,5.163117407230247,1.4483027623100102,0.0,1.2296898194538335,17.610491478628248,1.1331816495761386,5.490624094101936,0.0
7,13.21887498032374,8.986514593077219,1.4356778444185303,2.243320274345873,3.932984068868982,10.997735441091821,1.3471723747467663,12.157407950813873,2.575726212356942
8,13.272517070819584,3.53914399644136,1.1486936736105429,16.4751497176215,0.0,8.072294103424829,1.7101771588247197,12.07805359704348,1.3065522881183158
9,10.054459567444184,8.702960814485929,0.7303606171972223,0.0,4.531299300906525,0.0,1.6689094859033657,15.941598705111852,1.995182869846815
10,9.943457847266014,13.05636468790863,0.0,26.530635099283398,1.788112339752928,16.242003101096476,2.419493625467514,8.02547245161476,1.9951164046641232
11,23.1506506214063,5.473299897147556,1.3670984318180432,12.000918443371607,1.1781547000735173,17.73563899970074,2.1220234353368634,15.012512647477868,0.0
12,10.785818970825035,8.820723942281875,1.7727655689424102,21.7065856497944,3.0245185137554804,13.727394402111372,1.1820898718365682,11.878113803430125,0.5522913370261917
13,14.192380393377286,0.20979338383014726,2.134013347571194,33.11064997575698,3.651383110239259,16.29063346876752,0.6146570707235873,12.383483730755433,1.8763814239818342
14,0.0,9.810116671692406,0.7867436429897957,26.32815496487256,2.8431562400422794,115.55760913633007,0.7238572953337635,14.127978364499025,0.0
15,12.861297644516862,8.010286881754991,2.1925357718683394,25.778197598458558,3.1409678897650015,0.0,2.4742610643390486,11.285132702009992,2.2959447730587477
16,15.157031138300276,12.360134785037204,0.5794814912596872,37.29600976045479,1.0760923755703982,25.989571668843595,1.1774871671821197,10.895442495332892,1.3100464501549327
17,25.963154185867953,11.954774121544618,2.6423512559832973,47.80405330588876,4.446579662542626,9.625370090864674,0.0,22.360277938604806,1.9230476534810486
18,16.77615778585608,7.77763764058162,1.0306439092516702,37.7953184096966,0.0,0.0,1.8348125573409866,19.073568404144165,1.562330218677801
19,20.591445724436593,11.548218160594617,1.9030131198381182,36.844610683896256,5.903955990407357,18.939378860276264,2.2526519257862865,10.51988079993564,2.9578277334140464
20,8.187650414450605,6.312739459565738,1.2991385417553776,34.47741577961083,3.228476316742372,21.81736842982901,1.9795899119486495,10.680166457679498,0.0
21,6.259172796680598,9.066059628534072,1.4467608099107214,8.75597333215026,3.1907105726930447,21.4329475305106,1.7285123341622013,9.805165295951694,1.5247677399580652
