Timestamp,p_Spin10_ISONE,loc_Spin10_ISONE,p_NSpin10_ISONE,loc_NSpin10_ISONE,p_OR30_ISONE,loc_OR30_ISONE
2023-01-01 00:00:00,7.6162,0.0,16.6965,0.0,15.7061,0.0
2023-01-01 01:00:00,12.943,0.0,19.9392,0.0,30.9048,0.0
2023-01-01 02:00:00,11.627,0.0,24.5203,0.0,21.637,0.0
2023-01-01 03:00:00,25.2916,0.0,24.4519,0.0,36.9189,0.0
2023-01-01 04:00:00,61.627,0.0,10.306,0.0,21.8933,0.0
2023-01-01 05:00:00,25.1188,0.0,30.2345,0.0,21.7631,0.0
2023-01-01 06:00:00,14.886,0.0,25.5942,0.0,14.3009,0.0
2023-01-01 07:00:00,5.2671,0.0,4.3414,0.0,19.6628,0.0
2023-01-01 08:00:00,26.0067,0.0,25.8845,0.0,21.2684,1.8323
2023-01-01 09:00:00,9.4048,0.0,6.2667,0.0,11.3093,0.0
2023-01-01 10:00:00,14.1676,0.0,13.036,0.0,22.0549,0.0
2023-01-01 11:00:00,0.1056,0.0,25.5528,0.0,26.2266,0.0
2023-01-01 12:00:00,14.2161,0.0,13.68,0.0,18.1897,0.0
2023-01-01 13:00:00,8.3229,0.0,4.7513,0.0,3.5459,0.0
2023-01-01 14:00:00,36.897,0.0,23.4026,0.0,20.2292,0.0
2023-01-01 15:00:00,12.4039,0.0,58.7546,0.6007,12.228,0.0
2023-01-01 16:00:00,4.0412,0.0,8.4505,0.0,22.0062,0.0
2023-01-01 17:00:00,6.2986,0.0,13.3019,0.0,20.7789,0.0
2023-01-01 18:00:00,5.5773,0.0,8.9458,0.0,55.9325,0.0
2023-01-01 19:00:00,10.5123,0.0,5.9002,0.0,9.8322,0.0
2023-01-01 20:00:00,24.8254,1.3379,12.0339,0.0,24.2873,0.0
2023-01-01 21:00:00,29.3248,0.0,27.3115,0.4295,21.1818,0.0
2023-01-01 22:00:00,9.9979,0.0,6.1402,0.0,10.7186,0.0
2023-01-01 23:00:00,11.9655,0.0,13.4693,0.0,11.265,0.0
2023-01-02 00:00:00,16.7777,1.0509,13.7989,0.0,27.0663,0.0
2023-01-02 01:00:00,17.9817,0.0,1.9084,0.0,25.8218,0.0
2023-01-02 02:00:00,23.6737,0.0,6.7617,0.0,5.4293,0.0
2023-01-02 03:00:00,7.0837,0.0,19.2586,0.0,8.2707,0.0
2023-01-02 04:00:00,38.1295,0.0,30.085,0.0,11.1468,0.0
2023-01-02 05:00:00,31.9928,0.0,8.2614,0.0,36.1625,0.0
2023-01-02 06:00:00,30.272,0.0,17.9386,0.0,22.0196,0.0
2023-01-02 07:00:00,18.6323,0.0,37.882,0.0,3.2766,0.0
2023-01-02 08:00:00,22.223,0.0,26.0505,1.8114,23.158,0.0
2023-01-02 09:00:00,19.6642,0.0,30.2323,0.0,17.0907,0.0
2023-01-02 10:00:00,16.3288,0.0,35.4234,0.0,22.836,0.0
2023-01-02 11:00:00,30.3551,0.0,16.2445,0.0,20.8774,0.0
2023-01-02 12:00:00,19.7007,0.0,21.2449,0.0,14.3512,0.0
